Ticket_ID,Customer_ID,Ticket_Date,Issue_Type,Priority,Resolution_Days,Satisfaction_Score,Contact_Channel
TKT001991,CUST02556,2026-05-05,Billing,Low,7,3.0,Chat
TKT001992,CUST02557,2025-09-24,Other,Low,16,5.0,Phone
TKT001993,CUST02557,2025-11-12,Plan Change,Medium,5,5.0,Chat
TKT001994,CUST02558,2026-01-19,Cancellation,Medium,2,4.0,Chat
TKT001995,CUST02559,2025-04-17,Connectivity,Low,1,4.0,App
TKT001996,CUST02561,2024-12-17,Other,Low,2,3.0,Chat
TKT001997,CUST02561,2025-12-16,Plan Change,Medium,4,4.0,App
TKT001998,CUST02566,2026-04-01,Connectivity,Low,3,4.0,Phone
TKT001999,CUST02566,2025-09-15,Billing,Medium,2,4.0,App
TKT002000,CUST02567,2026-03-29,Billing,Medium,3,3.0,Chat
TKT002001,CUST02567,2025-08-19,Billing,Low,3,3.0,Email
TKT002002,CUST02568,2024-11-24,Cancellation,Medium,3,4.0,Email
TKT002003,CUST02569,2026-02-07,Cancellation,Medium,2,4.0,Chat
TKT002004,CUST02569,2025-12-28,Connectivity,Medium,5,3.0,App
TKT002005,CUST02569,2026-01-08,Other,Medium,4,4.0,App
TKT002006,CUST02574,2026-04-20,Connectivity,Low,5,3.0,Phone
TKT002007,CUST02574,2026-06-06,Connectivity,Medium,9,4.0,Phone
TKT002008,CUST02574,2026-05-14,Plan Change,Medium,8,4.0,App
TKT002009,CUST02576,2026-01-11,Plan Change,Medium,5,5.0,Chat
TKT002010,CUST02578,2026-02-07,Billing,Low,5,4.0,Email
TKT002011,CUST02578,2025-06-13,Cancellation,Low,4,4.0,Email
TKT002012,CUST02579,2026-04-30,Other,Low,1,3.0,App
TKT002013,CUST02580,2025-01-06,Other,Low,2,4.0,App
TKT002014,CUST02582,2026-05-03,Technical,Low,1,4.0,Phone
TKT002015,CUST02582,2026-03-05,Other,Medium,2,5.0,App
TKT002016,CUST02584,2026-06-06,Connectivity,Medium,3,2.0,Chat
TKT002017,CUST02584,2026-05-22,Connectivity,Medium,5,4.0,Phone
TKT002018,CUST02587,2025-06-11,Other,Low,8,4.0,Phone
TKT002019,CUST02587,2026-06-02,Billing,Medium,6,4.0,Phone
TKT002020,CUST02590,2026-03-24,Plan Change,Low,3,4.0,App
TKT002021,CUST02590,2026-06-12,Connectivity,Low,7,4.0,App
TKT002022,CUST02592,2025-04-08,Plan Change,Low,3,3.0,App
TKT002023,CUST02593,2025-12-27,Plan Change,Low,4,5.0,Phone
TKT002024,CUST02595,2025-11-11,Technical,High,4,3.0,App
TKT002025,CUST02598,2026-02-15,Connectivity,Medium,3,4.0,Email
TKT002026,CUST02599,2025-12-23,Plan Change,Low,4,4.0,Phone
TKT002027,CUST02600,2025-03-05,Other,Medium,4,5.0,App
TKT002028,CUST02603,2026-05-27,Plan Change,Low,4,5.0,App
TKT002029,CUST02604,2026-02-15,Other,Low,2,4.0,Chat
TKT002030,CUST02607,2024-09-10,Cancellation,Medium,5,3.0,Phone
TKT002031,CUST02608,2025-10-05,Other,Medium,6,3.0,Email
TKT002032,CUST02608,2025-08-12,Billing,Medium,6,5.0,Email
TKT002033,CUST02609,2025-12-09,Connectivity,Medium,2,3.0,Email
TKT002034,CUST02609,2026-05-01,Connectivity,Low,5,4.0,Phone
TKT002035,CUST02612,2025-08-26,Other,High,4,3.0,Phone
TKT002036,CUST02614,2025-07-26,Cancellation,Low,3,3.0,Phone
TKT002037,CUST02614,2025-07-13,Other,Low,5,4.0,Email
TKT002038,CUST02618,2025-12-11,Plan Change,Low,2,4.0,Phone
TKT002039,CUST02619,2025-07-05,Technical,Low,5,4.0,Email
TKT002040,CUST02620,2025-10-07,Other,Medium,8,4.0,App
TKT002041,CUST02621,2026-06-04,Other,Low,4,4.0,Phone
TKT002042,CUST02621,2026-02-19,Other,Medium,6,4.0,App
TKT002043,CUST02622,2026-01-01,Cancellation,Low,3,4.0,Email
TKT002044,CUST02623,2024-10-27,Billing,Low,4,3.0,Phone
TKT002045,CUST02624,2026-06-02,Other,Medium,3,3.0,Phone
TKT002046,CUST02626,2026-03-30,Technical,Low,1,4.0,App
TKT002047,CUST02627,2026-05-20,Technical,Medium,3,3.0,Phone
TKT002048,CUST02627,2026-04-06,Billing,Medium,4,3.0,Email
TKT002049,CUST02627,2026-06-19,Connectivity,High,7,2.0,App
TKT002050,CUST02629,2025-04-10,Other,Medium,3,4.0,Phone
TKT002051,CUST02632,2026-06-11,Technical,Medium,5,4.0,Chat
TKT002052,CUST02632,2025-01-18,Plan Change,Low,3,3.0,Email
TKT002053,CUST02635,2026-01-11,Cancellation,Medium,3,4.0,Email
TKT002054,CUST02636,2026-03-29,Connectivity,Low,3,4.0,Email
TKT002055,CUST02638,2025-03-02,Plan Change,Low,2,4.0,Email
TKT002056,CUST02640,2025-03-24,Connectivity,Medium,2,5.0,Phone
TKT002057,CUST02641,2026-04-08,Billing,High,4,5.0,Chat
TKT002058,CUST02642,2026-04-22,Billing,Low,7,2.0,App
TKT002059,CUST02643,2025-11-06,Billing,Low,3,3.0,App
TKT002060,CUST02644,2024-05-27,Technical,Medium,6,3.0,App
TKT002061,CUST02647,2024-12-25,Cancellation,Low,5,4.0,Phone
TKT002062,CUST02650,2025-10-20,Cancellation,Low,2,3.0,Chat
TKT002063,CUST02650,2024-05-25,Plan Change,Medium,2,3.0,Email
TKT002064,CUST02651,2026-04-07,Plan Change,Medium,1,5.0,Phone
TKT002065,CUST02655,2024-09-02,Cancellation,Medium,5,4.0,Phone
TKT002066,CUST02656,2025-04-14,Technical,Low,7,4.0,Email
TKT002067,CUST02657,2025-05-12,Other,Low,3,5.0,Chat
TKT002068,CUST02658,2026-05-05,Other,Medium,7,4.0,Phone
TKT002069,CUST02659,2025-10-27,Billing,Low,4,3.0,Email
TKT002070,CUST02659,2024-09-29,Billing,Low,3,4.0,Phone
TKT002071,CUST02659,2024-10-22,Connectivity,Low,2,4.0,Phone
TKT002072,CUST02662,2026-03-02,Connectivity,Low,4,4.0,Chat
TKT002073,CUST02663,2025-10-21,Technical,Medium,4,5.0,App
TKT002074,CUST02664,2026-03-30,Other,Low,2,5.0,Email
TKT002075,CUST02665,2024-09-21,Connectivity,High,4,3.0,Email
TKT002076,CUST02668,2026-04-24,Cancellation,Medium,6,5.0,Email
TKT002077,CUST02670,2025-07-22,Technical,High,4,2.0,App
TKT002078,CUST02672,2026-02-22,Cancellation,Low,6,4.0,Email
TKT002079,CUST02673,2025-08-15,Plan Change,High,3,3.0,Email
TKT002080,CUST02673,2025-08-22,Cancellation,Low,3,4.0,Phone
TKT002081,CUST02674,2025-03-25,Cancellation,Medium,3,4.0,Email
TKT002082,CUST02678,2026-01-13,Connectivity,High,4,4.0,Email
TKT002083,CUST02681,2025-06-17,Other,Medium,3,4.0,App
TKT002084,CUST02683,2025-03-13,Technical,Low,2,3.0,Phone
TKT002085,CUST02684,2025-09-26,Billing,Medium,1,4.0,Chat
TKT002086,CUST02684,2026-03-26,Technical,Medium,2,3.0,App
TKT002087,CUST02684,2025-07-31,Other,Medium,3,4.0,Chat
TKT002088,CUST02685,2025-11-25,Billing,Low,2,3.0,Email
TKT002089,CUST02686,2025-04-20,Cancellation,Low,4,4.0,Chat
TKT002090,CUST02686,2025-07-23,Billing,Low,8,2.0,Phone
TKT002091,CUST02687,2026-01-09,Cancellation,Low,5,4.0,Chat
TKT002092,CUST02687,2026-01-23,Technical,Low,2,4.0,Email
TKT002093,CUST02689,2026-03-11,Cancellation,High,2,3.0,Chat
TKT002094,CUST02690,2025-06-21,Billing,Low,4,4.0,App
TKT002095,CUST02691,2026-04-25,Billing,Medium,12,,App
TKT002096,CUST02694,2026-05-22,Technical,Low,5,3.0,Phone
TKT002097,CUST02695,2025-07-28,Technical,Medium,3,5.0,Email
TKT002098,CUST02698,2026-03-31,Technical,Low,4,4.0,Chat
TKT002099,CUST02698,2025-09-01,Technical,Low,1,4.0,Phone
TKT002100,CUST02699,2024-05-25,Billing,Medium,4,2.0,App
TKT002101,CUST02699,2025-02-23,Cancellation,Medium,5,4.0,Chat
TKT002102,CUST02699,2024-05-12,Billing,Low,2,3.0,Phone
TKT002103,CUST02701,2024-11-13,Cancellation,Low,1,4.0,Chat
TKT002104,CUST02701,2024-12-28,Other,High,5,2.0,App
TKT002105,CUST02702,2026-02-13,Plan Change,Low,8,4.0,App
TKT002106,CUST02705,2024-10-02,Billing,Medium,2,2.0,Chat
TKT002107,CUST02705,2026-05-27,Connectivity,Medium,3,4.0,Email
TKT002108,CUST02708,2026-04-27,Other,Low,6,2.0,Email
TKT002109,CUST02709,2026-05-22,Plan Change,Medium,3,5.0,App
TKT002110,CUST02710,2026-01-18,Plan Change,Low,1,4.0,Chat
TKT002111,CUST02710,2026-01-18,Cancellation,Low,3,4.0,App
TKT002112,CUST02711,2026-04-27,Cancellation,Low,8,5.0,Email
TKT002113,CUST02711,2026-03-17,Plan Change,Medium,2,3.0,App
TKT002114,CUST02712,2025-10-08,Technical,Medium,3,3.0,App
TKT002115,CUST02715,2026-05-02,Technical,High,2,3.0,Email
TKT002116,CUST02715,2026-05-17,Plan Change,Low,6,,App
TKT002117,CUST02717,2026-05-19,Plan Change,Low,1,4.0,Phone
TKT002118,CUST02717,2026-01-07,Cancellation,Low,1,2.0,Phone
TKT002119,CUST02718,2026-04-28,Plan Change,Low,3,3.0,Phone
TKT002120,CUST02718,2026-05-17,Billing,Medium,3,4.0,App
TKT002121,CUST02719,2026-04-08,Connectivity,Low,4,4.0,Email
TKT002122,CUST02719,2025-08-27,Cancellation,Low,6,3.0,App
TKT002123,CUST02721,2026-02-09,Other,Low,4,3.0,Phone
TKT002124,CUST02721,2025-06-24,Technical,Low,2,5.0,Email
TKT002125,CUST02722,2025-12-26,Plan Change,High,4,3.0,App
TKT002126,CUST02723,2026-04-04,Cancellation,Medium,2,4.0,Phone
TKT002127,CUST02723,2025-06-14,Other,Low,2,5.0,Chat
TKT002128,CUST02723,2026-01-02,Plan Change,Medium,4,4.0,Email
TKT002129,CUST02723,2026-01-05,Cancellation,Low,8,4.0,Email
TKT002130,CUST02724,2025-07-16,Other,Medium,3,3.0,Chat
TKT002131,CUST02725,2026-01-30,Cancellation,High,2,3.0,App
TKT002132,CUST02728,2025-08-11,Connectivity,Medium,6,4.0,Chat
TKT002133,CUST02729,2026-04-23,Other,Low,2,2.0,Phone
TKT002134,CUST02731,2025-04-25,Billing,Medium,3,,App
TKT002135,CUST02731,2025-05-24,Plan Change,Low,1,3.0,App
TKT002136,CUST02731,2024-12-02,Billing,Medium,2,4.0,Email
TKT002137,CUST02735,2025-07-29,Technical,Low,5,5.0,Phone
TKT002138,CUST02737,2026-01-25,Cancellation,Medium,3,4.0,Phone
TKT002139,CUST02741,2025-10-03,Cancellation,High,4,2.0,Phone
TKT002140,CUST02742,2026-02-23,Cancellation,Low,4,4.0,App
TKT002141,CUST02742,2025-02-12,Technical,Low,2,3.0,Email
TKT002142,CUST02744,2026-03-05,Technical,Medium,5,3.0,Chat
TKT002143,CUST02745,2025-12-29,Plan Change,Medium,3,3.0,Phone
TKT002144,CUST02745,2025-12-07,Billing,Medium,4,4.0,App
TKT002145,CUST02746,2026-05-16,Technical,High,3,3.0,Phone
TKT002146,CUST02747,2026-02-26,Connectivity,Low,3,5.0,Email
TKT002147,CUST02749,2025-11-30,Connectivity,Medium,3,4.0,Email
TKT002148,CUST02750,2025-11-12,Billing,Low,4,5.0,App
TKT002149,CUST02751,2026-02-11,Connectivity,Medium,1,5.0,App
TKT002150,CUST02752,2026-04-06,Billing,Low,4,2.0,App
TKT002151,CUST02755,2025-10-04,Billing,High,5,2.0,Email
TKT002152,CUST02756,2026-03-03,Cancellation,Medium,3,5.0,App
TKT002153,CUST02756,2024-10-12,Plan Change,Low,1,4.0,Chat
TKT002154,CUST02760,2024-11-11,Plan Change,Low,2,3.0,App
TKT002155,CUST02760,2024-10-21,Cancellation,Low,1,5.0,Phone
TKT002156,CUST02762,2026-03-09,Billing,Low,2,3.0,App
TKT002157,CUST02762,2026-04-22,Cancellation,Low,6,4.0,Phone
TKT002158,CUST02762,2025-07-19,Other,Low,3,5.0,Chat
TKT002159,CUST02763,2025-11-30,Connectivity,Low,1,5.0,Email
TKT002160,CUST02765,2026-04-25,Cancellation,Low,2,2.0,Chat
TKT002161,CUST02766,2026-03-12,Connectivity,Low,4,4.0,Email
TKT002162,CUST02766,2026-03-25,Billing,Low,3,4.0,Email
TKT002163,CUST02767,2025-09-26,Connectivity,High,8,3.0,Phone
TKT002164,CUST02771,2025-02-21,Plan Change,Low,2,3.0,Chat
TKT002165,CUST02773,2024-11-11,Cancellation,Medium,6,5.0,Chat
TKT002166,CUST02774,2024-11-10,Cancellation,Low,3,5.0,App
TKT002167,CUST02774,2025-05-18,Plan Change,Low,4,3.0,Chat
TKT002168,CUST02774,2026-04-08,Other,Medium,3,3.0,App
TKT002169,CUST02775,2026-05-18,Billing,Low,1,3.0,Chat
TKT002170,CUST02776,2026-03-16,Connectivity,Low,2,3.0,Email
TKT002171,CUST02783,2025-05-06,Plan Change,Medium,3,5.0,Phone
TKT002172,CUST02783,2025-04-18,Connectivity,Low,6,5.0,Email
TKT002173,CUST02788,2026-05-30,Connectivity,Medium,2,4.0,App
TKT002174,CUST02788,2026-03-30,Connectivity,Low,3,5.0,Phone
TKT002175,CUST02792,2026-06-05,Technical,Low,3,2.0,Phone
TKT002176,CUST02794,2026-05-14,Connectivity,Low,11,4.0,App
TKT002177,CUST02794,2026-05-08,Technical,Medium,9,4.0,App
TKT002178,CUST02794,2026-05-19,Billing,Low,4,4.0,App
TKT002179,CUST02795,2024-03-11,Other,Low,6,3.0,Email
TKT002180,CUST02801,2026-04-09,Cancellation,Low,3,4.0,Chat
TKT002181,CUST02802,2026-04-26,Cancellation,Low,2,4.0,Chat
TKT002182,CUST02802,2026-04-12,Plan Change,Medium,1,4.0,Chat
TKT002183,CUST02802,2026-04-19,Connectivity,Low,4,5.0,App
TKT002184,CUST02804,2025-05-01,Technical,Low,1,3.0,App
TKT002185,CUST02806,2026-03-31,Technical,Medium,7,5.0,Email
TKT002186,CUST02806,2026-05-04,Cancellation,Low,2,4.0,Phone
TKT002187,CUST02808,2025-08-03,Technical,Low,2,3.0,Email
TKT002188,CUST02810,2026-02-20,Technical,Low,5,5.0,Phone
TKT002189,CUST02811,2026-04-24,Technical,Low,3,3.0,Phone
TKT002190,CUST02811,2026-02-16,Cancellation,Medium,5,4.0,App
TKT002191,CUST02812,2024-07-02,Other,Low,4,3.0,Phone
TKT002192,CUST02812,2025-09-09,Technical,Medium,2,3.0,Email
TKT002193,CUST02813,2026-04-14,Billing,Low,2,3.0,Chat
TKT002194,CUST02814,2026-04-30,Plan Change,High,3,4.0,Chat
TKT002195,CUST02815,2025-08-11,Cancellation,Medium,1,3.0,App
TKT002196,CUST02817,2025-06-20,Other,Low,2,5.0,Phone
TKT002197,CUST02819,2024-04-29,Plan Change,Low,3,3.0,Email
TKT002198,CUST02819,2025-01-15,Technical,Medium,1,4.0,Phone
TKT002199,CUST02819,2025-06-08,Plan Change,High,4,3.0,Email
TKT002200,CUST02820,2026-04-10,Plan Change,Low,3,4.0,Phone
TKT002201,CUST02822,2026-01-23,Other,Low,3,2.0,App
TKT002202,CUST02825,2025-11-04,Other,Low,2,5.0,Phone
TKT002203,CUST02825,2025-10-26,Plan Change,Low,4,4.0,App
TKT002204,CUST02826,2025-12-04,Cancellation,Medium,1,3.0,App
TKT002205,CUST02827,2026-02-21,Connectivity,Low,2,4.0,Phone
TKT002206,CUST02827,2026-03-30,Connectivity,High,2,3.0,Chat
TKT002207,CUST02827,2025-07-22,Billing,Medium,2,4.0,App
TKT002208,CUST02829,2025-04-27,Cancellation,Low,3,4.0,Chat
TKT002209,CUST02830,2026-06-10,Technical,Medium,5,3.0,Chat
TKT002210,CUST02830,2025-06-15,Other,Low,5,4.0,App
TKT002211,CUST02832,2026-01-25,Other,Low,5,5.0,Phone
TKT002212,CUST02832,2025-07-18,Technical,Medium,1,4.0,Email
TKT002213,CUST02834,2025-11-15,Technical,Low,1,3.0,Email
TKT002214,CUST02836,2026-02-28,Other,Medium,1,2.0,Phone
TKT002215,CUST02836,2026-02-27,Connectivity,Low,5,4.0,Email
TKT002216,CUST02836,2025-07-12,Connectivity,Low,4,4.0,Email
TKT002217,CUST02837,2025-12-15,Connectivity,Low,6,3.0,Phone
TKT002218,CUST02838,2024-12-21,Cancellation,Medium,4,4.0,Chat
TKT002219,CUST02840,2026-05-19,Technical,Medium,2,4.0,Phone
TKT002220,CUST02840,2025-09-05,Connectivity,Medium,2,5.0,Phone
TKT002221,CUST02840,2026-01-19,Connectivity,Low,2,3.0,Chat
TKT002222,CUST02841,2025-10-16,Connectivity,Medium,3,3.0,Chat
TKT002223,CUST02846,2026-05-29,Billing,Low,3,4.0,Phone
TKT002224,CUST02847,2025-05-08,Plan Change,Medium,11,4.0,App
TKT002225,CUST02849,2025-02-17,Plan Change,Medium,10,3.0,Phone
TKT002226,CUST02852,2026-05-30,Technical,Medium,1,2.0,App
TKT002227,CUST02853,2025-09-12,Cancellation,Low,3,4.0,Email
TKT002228,CUST02853,2026-04-20,Billing,Low,2,2.0,Chat
TKT002229,CUST02854,2025-05-01,Technical,Low,1,4.0,App
TKT002230,CUST02854,2024-12-22,Billing,Medium,4,5.0,Chat
TKT002231,CUST02856,2026-05-12,Cancellation,High,5,2.0,Phone
TKT002232,CUST02857,2026-06-21,Cancellation,Medium,2,3.0,App
TKT002233,CUST02858,2025-02-23,Plan Change,Low,2,2.0,Email
TKT002234,CUST02858,2024-08-25,Other,Low,8,,Chat
TKT002235,CUST02859,2025-02-09,Cancellation,Low,5,4.0,Email
TKT002236,CUST02859,2024-06-13,Cancellation,Low,3,5.0,Chat
TKT002237,CUST02859,2024-04-17,Plan Change,Low,2,5.0,Phone
TKT002238,CUST02860,2025-12-18,Technical,Low,1,4.0,Email
TKT002239,CUST02860,2024-05-28,Billing,Low,7,4.0,Chat
TKT002240,CUST02862,2026-06-12,Connectivity,Medium,2,3.0,Phone
TKT002241,CUST02863,2025-07-31,Billing,Low,2,4.0,Phone
TKT002242,CUST02865,2024-09-11,Connectivity,Medium,2,5.0,Chat
TKT002243,CUST02865,2026-04-04,Plan Change,Low,15,4.0,Phone
TKT002244,CUST02866,2024-03-23,Billing,Medium,2,5.0,App
TKT002245,CUST02866,2025-07-23,Connectivity,Medium,5,4.0,Phone
TKT002246,CUST02870,2026-03-20,Cancellation,Medium,4,3.0,App
TKT002247,CUST02870,2024-11-22,Billing,Low,1,4.0,Email
TKT002248,CUST02871,2026-05-25,Technical,Low,5,4.0,Email
TKT002249,CUST02872,2026-05-08,Plan Change,Medium,6,2.0,Phone
TKT002250,CUST02873,2024-10-03,Other,Low,5,4.0,Phone
TKT002251,CUST02874,2024-11-28,Other,Medium,4,5.0,Chat
TKT002252,CUST02875,2025-07-30,Billing,Low,1,3.0,Phone
TKT002253,CUST02875,2024-10-29,Billing,Low,2,4.0,App
TKT002254,CUST02876,2026-06-05,Other,High,1,3.0,App
TKT002255,CUST02877,2025-05-28,Other,Medium,1,3.0,Phone
TKT002256,CUST02881,2026-04-29,Billing,Medium,1,3.0,Email
TKT002257,CUST02882,2025-09-24,Cancellation,Low,1,4.0,App
TKT002258,CUST02882,2026-01-17,Connectivity,Medium,3,3.0,Phone
TKT002259,CUST02883,2026-01-04,Connectivity,High,3,3.0,Chat
TKT002260,CUST02884,2026-05-17,Connectivity,Low,2,3.0,Email
TKT002261,CUST02887,2026-05-04,Connectivity,Low,3,3.0,Email
TKT002262,CUST02889,2026-01-04,Connectivity,Low,9,4.0,Email
TKT002263,CUST02892,2026-03-25,Billing,Low,2,3.0,Phone
TKT002264,CUST02895,2025-03-14,Technical,Medium,2,4.0,App
TKT002265,CUST02897,2026-03-29,Billing,Medium,3,3.0,Chat
TKT002266,CUST02897,2026-04-22,Technical,Low,1,3.0,App
TKT002267,CUST02898,2026-03-18,Plan Change,High,5,2.0,Phone
TKT002268,CUST02900,2025-08-11,Cancellation,Medium,13,3.0,Chat
TKT002269,CUST02903,2026-01-07,Billing,High,4,4.0,Chat
TKT002270,CUST02904,2025-11-01,Plan Change,Low,3,3.0,App
TKT002271,CUST02906,2025-08-08,Other,Low,3,4.0,Chat
TKT002272,CUST02906,2025-09-13,Other,Medium,5,3.0,Phone
TKT002273,CUST02907,2026-02-11,Technical,Low,1,4.0,Chat
TKT002274,CUST02908,2025-01-25,Technical,Medium,1,4.0,App
TKT002275,CUST02910,2026-05-03,Cancellation,High,5,4.0,App
TKT002276,CUST02911,2026-04-23,Other,Medium,5,3.0,Chat
TKT002277,CUST02914,2025-09-05,Billing,Low,3,4.0,Email
TKT002278,CUST02914,2025-07-30,Connectivity,High,7,2.0,App
TKT002279,CUST02916,2025-11-23,Billing,Low,1,3.0,Chat
TKT002280,CUST02916,2026-01-17,Cancellation,Low,6,3.0,Phone
TKT002281,CUST02917,2026-03-06,Cancellation,Medium,1,3.0,Phone
TKT002282,CUST02918,2026-02-18,Cancellation,Low,2,3.0,Chat
TKT002283,CUST02919,2025-12-03,Cancellation,Medium,5,4.0,Email
TKT002284,CUST02919,2025-07-21,Connectivity,Low,1,3.0,App
TKT002285,CUST02920,2025-03-29,Plan Change,Low,6,4.0,App
TKT002286,CUST02921,2025-04-11,Technical,Medium,8,4.0,Email
TKT002287,CUST02921,2024-10-07,Billing,Medium,9,2.0,Phone
TKT002288,CUST02921,2025-05-02,Technical,Medium,9,3.0,Chat
TKT002289,CUST02923,2025-09-18,Cancellation,High,2,4.0,Phone
TKT002290,CUST02924,2025-03-10,Technical,Low,2,4.0,Chat
TKT002291,CUST02928,2026-01-18,Technical,Medium,3,3.0,App
TKT002292,CUST02929,2026-06-17,Billing,Low,1,4.0,Chat
TKT002293,CUST02930,2026-02-20,Cancellation,Low,5,4.0,Email
TKT002294,CUST02930,2026-03-02,Connectivity,Low,4,3.0,Phone
TKT002295,CUST02931,2025-04-29,Cancellation,Medium,1,4.0,Phone
TKT002296,CUST02931,2026-04-03,Connectivity,Low,5,3.0,Email
TKT002297,CUST02932,2026-05-13,Plan Change,Low,2,4.0,App
TKT002298,CUST02933,2025-09-22,Technical,Medium,4,3.0,Email
TKT002299,CUST02936,2024-09-10,Plan Change,Medium,3,4.0,Chat
TKT002300,CUST02936,2026-01-27,Other,Medium,6,3.0,Email
TKT002301,CUST02937,2025-11-28,Other,Medium,3,4.0,Phone
TKT002302,CUST02937,2025-10-14,Plan Change,Medium,6,2.0,Chat
TKT002303,CUST02938,2025-10-28,Other,Low,1,3.0,Chat
TKT002304,CUST02939,2026-01-01,Plan Change,Medium,5,2.0,Email
TKT002305,CUST02941,2026-01-18,Plan Change,Low,1,3.0,Chat
TKT002306,CUST02944,2025-10-18,Plan Change,Low,4,4.0,Phone
TKT002307,CUST02945,2025-09-17,Billing,Medium,1,3.0,Phone
TKT002308,CUST02946,2026-01-28,Plan Change,Low,2,4.0,Phone
TKT002309,CUST02947,2026-03-07,Cancellation,Low,2,3.0,Phone
TKT002310,CUST02949,2024-09-22,Connectivity,Low,4,4.0,Phone
TKT002311,CUST02950,2026-06-07,Other,Medium,1,4.0,Email
TKT002312,CUST02954,2025-09-20,Plan Change,Medium,9,4.0,Phone
TKT002313,CUST02955,2025-12-28,Connectivity,Low,4,4.0,Phone
TKT002314,CUST02959,2025-12-31,Other,Medium,5,4.0,App
TKT002315,CUST02960,2026-05-19,Other,Low,2,4.0,Phone
TKT002316,CUST02961,2026-03-04,Technical,Low,2,4.0,App
TKT002317,CUST02961,2026-01-08,Connectivity,Low,4,4.0,Email
TKT002318,CUST02963,2026-04-23,Other,Low,3,4.0,Chat
TKT002319,CUST02963,2026-05-06,Cancellation,Low,1,4.0,App
TKT002320,CUST02964,2026-05-14,Other,Low,4,4.0,App
TKT002321,CUST02968,2025-05-21,Connectivity,Low,6,5.0,Phone
TKT002322,CUST02969,2025-09-01,Plan Change,Low,5,3.0,App
TKT002323,CUST02971,2026-04-11,Billing,Low,4,5.0,Email
TKT002324,CUST02973,2026-05-03,Other,Medium,1,5.0,Email
TKT002325,CUST02974,2025-02-27,Other,Low,4,4.0,Phone
TKT002326,CUST02974,2025-06-26,Technical,Medium,3,5.0,Chat
TKT002327,CUST02974,2026-01-25,Connectivity,Low,3,4.0,Email
TKT002328,CUST02977,2025-09-17,Other,Low,2,4.0,Email
TKT002329,CUST02979,2026-04-15,Billing,Low,3,3.0,Chat
TKT002330,CUST02980,2024-12-10,Other,Low,9,2.0,Phone
TKT002331,CUST02981,2025-03-18,Plan Change,Low,6,3.0,App
TKT002332,CUST02981,2025-07-01,Technical,Low,2,3.0,Chat
TKT002333,CUST02983,2025-03-18,Billing,Medium,3,3.0,Email
TKT002334,CUST02984,2026-01-29,Connectivity,Medium,2,3.0,Chat
TKT002335,CUST02987,2025-12-07,Cancellation,Medium,6,5.0,App
TKT002336,CUST02990,2026-01-08,Connectivity,Low,2,4.0,Phone
TKT002337,CUST02990,2024-08-10,Plan Change,Low,2,4.0,App
TKT002338,CUST02992,2026-05-31,Other,Low,4,5.0,Phone
TKT002339,CUST02993,2026-05-25,Connectivity,Medium,8,3.0,App
TKT002340,CUST02994,2026-01-01,Technical,Low,2,2.0,Phone
TKT002341,CUST02994,2026-02-25,Connectivity,Medium,2,3.0,Chat
TKT002342,CUST02994,2026-01-07,Plan Change,Medium,2,5.0,Email
TKT002343,CUST02995,2025-06-26,Plan Change,Low,6,5.0,Phone
TKT002344,CUST02997,2026-01-03,Technical,Low,2,4.0,Email
TKT002345,CUST02997,2025-12-24,Connectivity,Low,4,,App
TKT002346,CUST02997,2025-05-02,Other,Low,2,3.0,Email
TKT002347,CUST02998,2026-03-17,Technical,Medium,7,3.0,App
TKT002348,CUST02999,2025-11-26,Other,Medium,3,4.0,Email
TKT002349,CUST03001,2024-11-11,Technical,Low,3,4.0,App
TKT002350,CUST03002,2026-03-05,Technical,Medium,3,4.0,Email
TKT002351,CUST03002,2026-03-28,Billing,Medium,2,2.0,Chat
TKT002352,CUST03002,2025-08-05,Other,Low,4,5.0,Chat
TKT002353,CUST03004,2026-05-28,Plan Change,Medium,2,5.0,Phone
TKT002354,CUST03005,2024-09-21,Billing,Low,3,2.0,Chat
TKT002355,CUST03007,2025-05-24,Billing,Low,5,5.0,Phone
TKT002356,CUST03009,2026-04-02,Other,Medium,6,4.0,App
TKT002357,CUST03011,2026-01-29,Technical,High,3,2.0,Phone
TKT002358,CUST03012,2025-09-21,Other,Low,4,4.0,App
TKT002359,CUST03013,2026-02-15,Technical,Medium,3,2.0,App
TKT002360,CUST03015,2025-10-02,Technical,Low,6,5.0,Chat
TKT002361,CUST03016,2026-04-09,Technical,Low,2,3.0,App
TKT002362,CUST03019,2026-01-09,Other,Low,2,3.0,Chat
TKT002363,CUST03019,2025-06-16,Other,Low,8,4.0,Phone
TKT002364,CUST03020,2025-03-29,Other,Medium,2,4.0,Email
TKT002365,CUST03020,2024-12-26,Other,Medium,3,3.0,Chat
TKT002366,CUST03020,2025-03-20,Billing,Low,3,4.0,Chat
TKT002367,CUST03021,2025-03-21,Billing,Medium,4,3.0,Phone
TKT002368,CUST03024,2026-02-13,Cancellation,Medium,1,4.0,Chat
TKT002369,CUST03027,2025-07-18,Cancellation,Medium,4,3.0,Email
TKT002370,CUST03028,2025-12-15,Technical,Low,11,3.0,Phone
TKT002371,CUST03030,2024-10-12,Connectivity,Low,3,3.0,Chat
TKT002372,CUST03030,2024-11-16,Technical,Low,1,4.0,Chat
TKT002373,CUST03031,2026-03-14,Other,Medium,11,3.0,Phone
